序号	年级	章节	涉及模块	题目	答案	答题过程
292	四年级	第六讲	加法原理	"如果一个大于9的整数，其每个数位上的数字都比它右边数位上的数字小，那么我们称 它为""迎春数"".那么,小于2008的""迎春数""共有           个 ."	176	方法一：枚举法一—按位数分类计算. 两位数中，“迎春数”个数 (1)十位数字是1,这样的“迎春数”有12,13, …,19,共8个； (2)十位数字是2.这样的“迎春数”有23.…,29,共7个； (3)十位数字是3,这样的“迎春数”有34, …,39,共6个； (4)十位数字是4,这样的“迎春数”有45, …,49,共5个； (5)十位数字是5,这样的“迎春数”有56, …,59,共4个； (6)十位数字是6,这样的“迎春数”有67,68,69,共3个； (7)十位数字是7,这样的“迎春数”有78,79,共2个； (8)十位数字是8,这样的“迎春数”只有89这1个； (9)没有十位数字是9的两位的“迎春数”; 所以两位数中，“迎春数”共有8+7+6+…+1=36(个). 三位数中，“迎春数”个数 (1)百位数字是1,这样的“迎春数”有123～129,134～139, …,189,共28个； (2)百位数字是2,这样的“迎春数”有234～239, …,289,共21个； (3)百位数字是3,这样的“迎春数”有345～349.…,389,共15个； (4)百位数字是4,这样的“迎春数”有456～459, …,489,共10个； (5)百位数字是5,这样的“迎春数”有567～569, …,589,共6个； (6)百位数字是6,这样的“迎春数”有678,679,689,共3个； (7)百位数字是7,这样的“迎春数”只有789,这1个； (8)没有百位数字是8,9的三位的“迎春数”; 所以三位数中，“迎春数”共有28+21+15+10+6+3+1=84(个). 1000～1999的自然数中，“迎春数”个数 (1)前两位数字是12,这样的“迎春数”有1234～1239, …,1289,共21个； (2)前两位数字是13,这样的“迎春数”有1345～1349, …,1389,共15个； (3)前两位数字是14,这样的“迎春数”有1456～1459, …,1489,共10个； (4)前两位数字是15,这样的“迎春数”有1567～1569, …,1589,共6个； (5)前两位数字是16,这样的“迎春数”有1678.1679,1689,共3个； (6)前两位数字是17,这样的“迎春数”只有1789这1个； (7)没有前两位数字是18,19的四位的“迎春数”; 所以四位数中，“迎春数”共有56个. 2000～2008的自然数中，没有“迎春数” 所以小于2008的自然数中，“迎春数”共有36+84+56=176(个). 
627	六年级	第11届	排列组合	小俊掷骰子游戏，刚开始他站在起点格，如果他掷出1至5点，掷出几点就前进几格，如果他掷出6点或某次前进后超出终点格，则立即返回起点格；若小俊掷了四次恰好到达终点格，掷骰子的顺序有 ______ 种可能。 起 1 2 3 4 5 6 7 8 9 终	44	情况一，没有掷出6； ① 1+1+3+5=10，考虑加数的位置，有12种可能； ② 1+1+4+4=10，考虑加数的位置，有6种可能； ③ 1+2+2+5=10，考虑加数的位置，有12种可能； ④ 1+2+3+4=10，考虑加数的位置，有24种可能； ⑤ 1+3+3+3=10，考虑加数的位置，有4种可能； ⑥ 2+2+3+3=10，考虑加数的位置，有6种可能； ⑦ 2+2+2+4=10，考虑加数的位置，有4种可能； 一共有 12+6+12+24+4+6+4=68 种可能；  情况二，第一次就掷出了6，剩下3个数的和是10； ① 1+5+4=10，考虑加数的位置，有6种可能； ② 2+5+3=10，考虑加数的位置，有6种可能； ③ 2+4+4=10，考虑加数的位置，有3种可能； ④ 3+4+3=10，考虑加数的位置，有3种可能； 一共有 6+6+3+3=18 种可能；第三种情况第二次掷出6，第三次和第四次都掷出5； 那么第一次可以是1~6，就有6种可能； 68+18+6=92种。
839	五年级	第二十四讲	质数与合数	有一群猴子正要分56个桃子.每只猴子可以分到同样个数的桃子.这时.又窜来4只猴 子.只好重新分配，但要使每只猴子分到同样个数的桃子，必须扔掉一个桃子.则最后每只猴子 分到桃子        个 .	5	因为56=1×56=2×28=4×14=7×8;55=1×55=5×11,其中只有11-7=4, 所以原来有7只猴子，后来又来4只，有11只猴子，每只猴子分到5个桃子.
768	五年级	第十五讲	火车过桥与流水行船	长120米的客车，以80千米/小时的速度向东行驶，长280米的货车往西行驶.它们在一 座长130米的铁路桥西端相遇，在桥的东端离开.货车的速度是        千米/小时.	48	客车的路程：120+130=250(米),货车的路程：280- 130=150(米),客车与货 车所用时间相同，所以路程比等于速度比，250:150=5:3,80÷5×3=48(千米/小时).
130	六年级	第二十讲	不定方程 	一小、二小两校春游的人数是10的整数倍.如果两校都租用有14个座位的旅游车，则 两校共需租用这种车72辆，如果两校都租用19个座位的旅游车，则二小要比一小多租用这种 车7辆.现在知道两校人员不合乘一辆车，且每辆车尽量坐满.问，两校参加这次春游的人数各 是多少?	一小430人，二小570人	设二小春游人数为m, 一小春游人数为n.由已知乘19座旅游车二小比一小多租用 7 辆 . 那么19×6+1≤m-n≤19×8-1, 115≤m-n≤151 又已知两校共需租用14座旅游车72辆， 那么70×14+2≤m+n≤72×14,982≤m+n≤1008 同时已知m 与 n 都是10的整数倍， 于是m-n=120或130或140或150；m+n=990或1000 经检验，仅m=570,n=430几符合题意.
1108				17．（6分）体操表演者排成每一横行和每一竖列中的人数相同的方阵，每个方阵最外一圈有16人，若四个这样的方阵恰好可以并成一个大方阵，则大方阵的最外一圈有　   　人．	36	【解答】解：16÷4+1＝5（人） 5×5＝25（人） 25×4＝100（人） 10×4﹣4＝36（人） 答：大方阵的最外一圈有36人． 故答案为：36．
324	四年级	第九讲	应用题综合一	几个小朋友在一起做游戏，选一个小朋友做队长.男孩做队长时，队员中女孩比男孩多 一倍：女孩做队长时，队员中男孩和女孩一样多.男孩有几人，女孩有几人.	3；4	男孩有(1+1)÷(2- 1)+1=3(人),女孩有3+1=4(人).
1796				 要使算式“□01÷44”的商是两位数，“□”里最小可以填____；	5，7	（1）由于除数是两位数，要保证商是两位数，就必须保证被除数前两位上的数够除，也就是大于或等于除数44，所以□里可填5、6、7、8、9，最小应填5， （2）要保证商是两位数，就必须保证被除数前两位上的数够除，也就是大于或等于除数44，所以□里可填0、1、2、3、4、5、6、7，最大可填7，据此解答。 解：（1）□01÷44的商是两位数，□中可填5、6、7、8、9，最小应填5， （2）473÷4□的商是两位数所以□里可填0、1、2、3、4、5、6、7，最大可填7。
1284	五年级			已知五位数能同时被3和5整除，这样的五位数有　   　个．	7	解：根据题意可知这个五位数能被5整除，所以个位是0或5， 再根据能被3整除的特征确定百位上的数字，①如果个位是0，百位上是2或5或8，②如果个位是5，百位上是0或3或6或9， 所以这个五位数可能是54270，54270，54870，54075，54375，54675，54975共7个． 故答案为：7．
1631				以下四个数字中，哪一个是完全平方数？ (1) 921438 (2) 76186 (3) 750235 (4) 2660161	(4) 2660161	数论，完全平方数。 （方法一） 一个整数的平方数被4除余0或1，即被4除余2或3的数一定不是完全平方数。 921438=38=2(mod4)， 76186=86=2(mod4)， 750235=35=3(mod4)； 故921438、76186、750235均不是完全平方数； 而2660161=163^2，是完全平方数； 故选(4)。
1755				8. 在算式 \(\overline{ABC}+\overline{DEFG}=2011\) 中，不同是字母代表不同的数字，那么满足算式的 A+B+C+D+E+F+G 的最大值是（ ） A. 25 B. 27 C. 29 D. 31 E. 33 	D	因为 A、B、C、D、E、F、G 表示的数字不同，所以要使它们的和最大，三次相加的和都是进位加法，据此推算：C+G=11，B+F=10，A+E=9，则 D=1，据此即可解答。 解：根据题干分析可得：C+G=11，B+F=10，A+E=9，则 D=1， 11+10+9+1=31， 即满足算式的 A+B+C+D+E+F+G 的最大值是 31。
772	五年级	第十五讲	火车过桥与流水行船	 一艘轮船往返于A 、B码头之间，它在静水中船速不变，当河水流速增加时，该船往返一 次所用时间比河水流速增加前所用时间         (填“多”或“少”).	多	多，考虑极限情况，当河水流速足够大时，轮船永远返回不了上游港口 .
1353	四年级			3/12-4/12+6/12=	0.416666666666667	0.416666666666667
696	五年级	第一讲	比较与估算	将下面4个分数按从小到大的顺序依次排列起来，正确的顺序是： A = 20062007/2006，B = 20072006/2007，C = 20062007/2007，D = 20072006/2006	C<D<A<B	简单比较大小.分母相同的分数先作比较，则有A<B,C<D, 再比较A和 D 的大小，两 者分子分母都不同，但都接近基准数10001,A>10001,D<10001,D<A, 因此C<D<A<B.
998				某年的8月份有5个星期一，4个星期二，则这年的8月8日是星期　   　．	星期六	解：依题意可知： 8月份5个星期一，4个星期二说明这个月的最后一天是8月31日星期一． 8月8日是31﹣8＝23天，在星期一的基础向前推23天（三个星期和2天） 故8月8日是星期六．
951				42. 一笔奖金原计划平均分配给8个人，现减少1个人，于是其余7人分到的奖金各增加2元，则这笔奖金共有____元。	112	42. 原计划每人分到的奖金为2×(8-1)=14（元），这笔奖金共有14×8=112（元）。
159	六年级	第二十四讲	最值问题	"对于平面上垂直的两条直线a  和b,  称 (a,b)   为一个“垂直对”,而a  和 b 都是属于这个 “垂直对”的直线.那么当平面上有二十条直线时最多有多少个""垂直对""?"	100	要垂直对尽可能多，则直线分成了两组线，同一组的线相互平行，不同组的线相互 垂直，所以当两组线都是10条时，垂直对最多有10×10=100(个).
931				22. 三个连续奇数的和是2007，这三个奇数的平均数是____。	669	22. 三个连续奇数中，最大的数比中间的数大2，最小的数比中间的数小2，所以这三个奇数的平均数是2007÷3=669。
635				一次智力测试由5道判断对错的题目组成，答对一题得20分，答错或不答得0分．小花在 答题时每道题都是随意答“对”或“错”，那么，她得60分或60分以上的概率是_____%．	0.5	由于每题对错的概率相等，所以答对0题和5题的概率相同，1题和4题的概率相同， 2题和3题的概率相同，得60分或60分以上，即答对3或4或5题，概率为50%．
517				新年晚会共有8个节目，其中有3个非歌唱类节目．排列节目单时规定，非歌唱类节目相 邻，而且第一个和最后一个节目都是歌唱类节目． 则节目单可有                   种不同的排法	2880	【分析】将 5 个歌唱节目全排列，然后再从 4 个间隔中选择 3 个排入非唱歌类节目，因此节目单的排法有A  × 4 × A  = 2880 种.
1343	四年级			有一队学生排成一个空心方阵，最外层是52人，最内层是28人，这队学生有　   　人．	160	解：方阵的层数：（52﹣28）÷8+l ＝3+1 ＝4（层）； 最外层每边的人数：52÷4+1 ＝13+1 ＝14（人）； 总人数：（14﹣4）×4×4 ＝10×16 ＝160（人）； 答：这一队学生共有160人． 故答案为：160．
598	六年级	第10届	和倍问题	从0、2、4、6、8中挑出4个各不相同的数字能组成一个四位完全平方数，那么这个完全平方数是 ______ .	6084	完全平方数的尾数可以是：0, 1, 4, 5, 6, 9，  当尾数是0时，后两个一定都是0，所以不合题意。  当尾数是6时，十位数字一定为奇数。所以不合题意。  当尾数是4时，0+2+4+6+8=20，不用的数字如果是8，和是12是3的倍数，但不是9的倍数，如果是0或6，被3整除余2，（完全平方数被3除余数只可能是0或1）所以不用的数只能是2, 6084, 6804, 8064, 8604，那么6084=78×78.
196	六年级	第八讲	计数综合	学学和思思一起洗已摞好的5个互不相同的碗，思思洗好的碗一个一个往上摞，学学再 从最上面一个一个地拿走放入碗柜摞成一摞，思思一边洗，学学一边拿，那么学学摞好的碗一共 有几  种不同的摞法. 	42	用枚举法.如下所示，共有42种不同的摞法： 5-4-3-2-1,4-5-3-2-1,3-5-4-2-1,5-3-4-2-1,3-4-5-2-1, 5-4-2-3-1,4-5-2-3-1,2-5-4-3-1,5-2-4-3-1,2-4-5-3-1, 5-2-3-4-1,2-5-3-4-1,2-3-5-4-1,2-3-4-5-1,5-4-3-1-2, 4-5-3-1-2,5-3-4-1-2,3-5-4-1-2,3-4-5-1-2,5-4-1-3-2, 4-5-1-3-2,1-5-4-3-2,5-1-4-3-2,1-4-5-3-2,5-1-3-4-2, 1-5-3-4-2,1-3-5-4-2,1-3-4-5-2,5-4-1-2-3,4-5-1-2-3, 1-5-4-2-3,5-1-4-2-3,1-4-5-2-3,1-2-5-4-3,5-1-2-4-3, 1-5-2-4-3,1-2-4-5-3,1-2-3-5-4,1-2-5-3-4,1-5-2-3-4, 5-1-2-3-4,1-2-3-4-5.
1552				在一个七位整数中，任何三个连续排列的数字都构成一个能被11或13整除的三位数，则这个七位数最大是 （　　） A．9981733 B．9884737 C．9978137 D．9871773	B	解：在7位数中，首先分析前三位数字，最大的11的倍数是990，最大13的倍数是988，因为0不能做首位．所以7位数中不能含有数字0，11倍数的第二大数字是979小于988．所以前三位数字是988． 第4位根据如果是11的倍数数字就是880．如果是13的倍数就是884．最大是884． 第5位根据如果是11的倍数数字就是847，如果是13的倍数就是845．最大是847． 第6位根据如果是11的倍数数字就是473，如果是13的倍数在470﹣479没有13的倍数．所以是473 第7位根据如果是11的倍数是737，如果是13的倍数没有符合的数字． 所以这个7位数是9884737． 故选：B．
1354	四年级			64+27+81+36+173+219+136＝　   　，	736	64+27+81+36+173+219+136＝（64+136）+（27+173）+（81+219）+36＝200+200+300+36＝736；
411	四年级	第十九讲	抽屉原理	一副扑克牌有四种花色，每种花色有13张，从中任意抽牌.问：最少要抽多少张牌，才能 保证有4张牌是同一花色?	13	四种花色每种花色13张，因此共52张，每种花色各选3张，一共12张，可见抽12 张牌不能保证有4张牌是同一花色的. 如果抽13张牌，由于花色只有4种，其中必有一种多于3张，即必有4张牌同一花色.
97	六年级	第十三讲	电梯、发车与接送	某公共汽车线路中间有10个站.车有快车及慢车两种，快车车速是慢车车速的1.2倍. 慢车每站都停，快车则只停靠中间1个站，每站停留时间都是3分钟.当某次慢车发出40分钟后，快车从同一始发站开出，两车恰好同时到达终点.问：快车从起点到终点共用多少时间?	68分钟	方法一：设起点到终点路程为S,  慢车车速为1,慢车行驶的时间为S÷1=S   (分钟), 用于停靠的时间为30分钟，由题意可得S+30=40+S/1.2+3 ,于是得S=78, 可见快车从起点 到终点共需78+30-40=68(分钟). 方法二：由于慢车比快车停靠站数多，所以除去停留时间外，慢车实际上只比快车早行驶了 40-3×10+3=13分钟，而快车和慢车所行的路程相同，因此快车与慢车行驶完全程所用的时 间比为1:1.2=5:6,因此快车从起点到终点共用时间为13÷(6-5)×5+3=68(分钟)
889	五年级	第二十六讲	带余除法	有一列数：1,3,9,25,69,189,517, …其中第一个数是1,第二个数是3,从第三个数起， 每个数恰好是前面两个数之和的2倍再加上1,那么这列数中的第2008个数除以6,得到的余 数是	1	这列数除以6的余数有以下规律：1,3,3,1,3,3,1,3,3,…,因为2008÷3=669……1, 所以第2008个数除以6余1.
842	五年级	第二十四讲	质数与合数	教数学的王老师准备去拜访一位朋友，出发前王老师先和这位朋友通电话，朋友家的电 话号码是27433619,当王老师打完电话之后，发现这个电话号码恰好是4个连续质数的乘积.  问：这4个质数的总和是	290	本题考查质数的概念及估算法在分解因数中的应用.先估算，70¹=24010000, 80⁴=40960000,所以这4个连续质数应在70附近，经验证可得27433619=67×71×73× 79,所以这四个质数的和为67+71+73+79=290
157	六年级	第二十四讲	最值问题	100名少年运动员胸前的号码分别是1,2,3, …,99,100.选出其中的k  名运动员，使得 他们的号码数之和等于2008.那么k 的最大值是几 	62	显然，选号码越小的，可以使选出的人数越多.因此，考虑先选前n名运动员，他们的号 码 是 1 -n 的连续自然数，并且号码数之和不超过2008. 由 于 1+2+3+...n=n(n+1）/2<=2008得n(n+1)/2<=2008 ,n(n+1)≤4016. 因为60×60=3600,70×70=4900,故n 是二位数，其十位数字是6.从小到大，逐一试算n (n+1),得到62×63=3906<4016,63×64=4032>4016,即选出的运动员不可能多于62人. 又因以选如下号码的运动员：1,2,3, …,7,9, …,62, 63,这些号码数的和是1953-8+63=2008,所以，k的最大值是62.
420	四年级	第十九讲	抽屉原理	一个盒子里面装有标号为1到100的100张卡片，某人从盒子里随意抽卡片，如果要求 取出的卡片中至少有两张标号之差为5.那么此人至少需要抽出几张卡片.	51	考虑最不利情况，取(1,2,3,4,5),(11,12,13,14,15),(21,22,23,24,25),…,(91, 92,93,94,95)共50个数，然后再随便取一个，就会出现标号之差为5的情况.50+1=51.
1593				计算1000﹣257﹣84﹣43﹣16＝　　．	600	解：1000﹣257﹣84﹣43﹣16  ＝1000﹣（257+43）﹣（84+16 ） ＝1000﹣300﹣100 ＝700﹣100 ＝600 故答案为：600．
478	四年级	第二讲	整数巧算	 计算：20062007×2007-2006×20072007=	2007	原式=20062006×2007+2007-20072007×2006 =2006×10001×2007-2007×10001×2006+2007 =2007
1476				某班学生人数大于20而小于30，其中女同学的人数是男同学的2倍．全班报名参加“华杯赛”的人数是未报名人数的3倍少1人．这个班有学生　　名．	27	解：根据分析知：全班人数是3的倍数，全班人数只能是21，24，27；全班报名参加“华杯赛”的人数是未报名人数的3倍少1人，所以全班人数加1人，是4的倍数；检验的全班人数为27人． 故答案为：27．
669				王老师在黑板上写了若干个从1开始的连续自然数：1，2，3，4，……，然后擦去三个 数（其中有两个质数），如果剩下的数的平均数是19+8/9 ，那么王老师在黑板上共写了 __________个数，擦去的两个质数的和最大是__________．	39；60	1+2+3+...+n=n(n+1)/2这几个数的平均数为n(n+1)/2n=(n+1)/2所以平均数在20左右，n应为40左右，擦掉3个数后剩下数的个数应为9的倍数..n=39 1+2+3+...+39=780 即n-3是9的倍数.36×19 8/9=716.擦掉3个数之和为64，39以下质数为37、31、29、23、19、...，试验得37+23=60或31+29=60.
947				38. 在线段AB之间插入7个点，则共增加了____条线段。	35	38. 点A、B和线段AB上的7个点，共9个点，可以组成9×(9-1)÷2=36（条）线段，所以共增加了36-1=35（条）线段。
977				68. 王大妈家有32只鸡和兔，已知公兔的数量和母兔一样多，母鸡的数量是公鸡数量的8倍，那么鸡和兔共有____条腿。	92	假设有1只公鸡，则有8只母鸡，有32-8-1=23（只）兔子，公兔、母兔的数量不可能一样多；假设有2只公鸡，则有16只母鸡，有32-16-2=14（只）兔子，公兔、母兔各有7只；假设有3只公鸡，则有24只母鸡，有32-24-3=5（只）兔子，公兔、母兔的数量不可能一样多。因此，王大妈家的鸡和兔的腿共有18×2+14×4=92（条）。
1221	四年级			在1﹣100这100个自然数中，所有不能被6整除的数的和为　   　．	4234	解：（1+100）×100÷2﹣6×（1+2+3+…+16）， ＝5050﹣6×（1+16）×16÷2， ＝5050﹣816， ＝4234； 故答案为：4234．
448	四年级	第二十二讲	数字最值	A、B都是整数，A大 于B,  且A×B=2009,那么A-B的最小值为      	8	由于A×B=2009=7²×41,A 、B都是2009的因数，要使它们的差最小，则B 要尽可能大， B最大可以为41,此时A=49.  所以A-B   的最小值为8.
941				32. 小明做一道计算题时，把被减数个位上的3错写成8，把被减数十位上的6错写成0，这样算得的差是200。正确的差应是____。	255	32. 把被减数个位上的3错写成8，使被减数增加了5；把被减数十位上的6错写成0，使被减数减少了60，这样错写的被减数比原来减少了55。而减数不变，所以算得的差也减少了55，正确的差应是200+55=255。
179	六年级	第二十五讲	最值问题	纸板上写着100、200、400三个自然数，再写上两个自然数，然后从这五个数中选出若干 个(至少两个)做只有加、减法的运算，在一个运算式子中，选出的数只能出现一次，经过所有这 样的运算，可以得到k 个不同的非零自然数.那么k 最大是多少?	64	设再写上的两个自然数是a 和b, 可设b>a. (1)从400、200和100选出2个或3个做加、减法，可得100、200、300、500、600和700,共6个不同正整数； (2)从400、200、100和a 选出若干个数(至少两个)做加、减法，由(1)并且考虑可选400和a,可得a±m(m=100,200,300,400,500,600,700), 共最多有14个不同正整数； (3)类似(2),用b 替 换a,共最多可得14个不同正整数； (4)类似(2),用b±a替 换a,共最多可得28个不同正整数； (5)仅取a和b, 分别做加减运算，可得2个不同正整数. 所以最多可得到6+14×4+2=64(个)不同的正整数.  
391	四年级	第十三讲	追及问题	狗追狐狸，狗跳一次前进15分米，狐狸跳一次前进10分米.狗每跳4次的时间狐狸恰好 跳2次.如果开始时狗离狐狸有300分米，那么狗跑几分米才能追上狐狸.	450	把狗跳4次、狐狸跳2次的时间看做单位时间，那么单位时间内狗可以跳15×4= 60(分米),狐狸可以跳10×2=20(分米),狗追上狐狸所花的时间：300÷(60-20)=7.5(单位 时间),狗跑了7.5×60=450   (分米). 
579	二年级	第12届	简单运算	甲乙两筐水果共重60千克，甲筐水果重量是乙筐水果重量的一半，甲筐水果是 ____ 千克.	20	根据题意可知，乙筐水果重量是甲筐的2倍，故甲筐水果的重量是60÷3=20.
1201	四年级			96×15÷（45×16）＝　   　．	2	96×15÷（45×16） ＝2；
1612				计算：(101+234+567)×(234+567+89)-(101+234+567+89)×(234+567)。	8989	计算，换元。 设234+567=A，234+567+89=B； (101+234+567)×(234+567+89)-(101+234+567+89)×(234+567) =(101+A)×B-(101+B)×A=(101×B+A×B)-(101×A+B×A)=101×(B-A)=101×89=8989
1176				4．（10分）三个连续自然数的乘积是120，它们的和是　   　．	15	【解答】解：120＝2×2×2×3×5＝（2×2）×（2×3）×5， 2×2＝4，2×3＝6，5， 即，三个连续自然数的乘积是120，这三个数是4、5、6， 所以，和是：4+5+6＝15． 故答案为：15．
1553				将1，2，3，4，5，6，7，8这8个数排成一行，使得8的两边各数之和相等，那么共有（　　）种不同的排法． A．1152 B．864 C．576 D．288	A	解：1+2+3+4+5+6+7＝28 8的两边各数之和是：28÷2＝14 （1）8的一边是1，6，7，另一边是2，3，4，5时， 不同的排法一共有： （3×2×1）×（4×3×2×1）×2 ＝6×24×2 ＝288（种） （2）8的一边是2，5，7，另一边是1，3，4，6时， 不同的排法一共有288种． （3）8的一边是3，4，7，另一边是1，2，5，6时， 不同的排法一共有288种． （4）8的一边是1，2，4，7，另一边是3，5，6时， 不同的排法一共有288种． 因为288×4＝1152（种）， 所以共有1152种不同的排法． 答：共有1152种不同的排法． 故选：A．
803	五年级	第二十二讲	进位制与位值原理	一个年龄在13～19岁之间的孩子把自已的年龄写在他父亲年龄的后面成为一个四位 数，从这个四位数中减去父子的年龄之差得到4289,孩子与父亲的年龄之和等于	59	设孩子的年龄为la,父亲的年龄是d, 根据题意有cdla=(d-la)+4289, 所以d= 43,la=16, 所以孩子和父亲的年龄和为43+16=59.
922				(56789+67895+78956+89567+95678)÷7=	55555	(56789+67895+78956+89567+95678)÷7=(5+6+7+8+9)×11111÷7=35÷7×11111=55555
1279	五年级			有一本书共900页，编上页码1、2、3…问数字“0”在页码中共出现　   　次．	172	解：①最后只有一位是0，即10﹣90，110﹣190，210﹣290，310﹣390，410﹣490，510﹣590，610﹣690，710﹣790，810﹣890，910，一共是82个0； ②最后两位都是0，即100、200、300、400，500，600，700，800，900一共是18个0； ③中间是0，101﹣109，201﹣209，301﹣309，401﹣409，501﹣509，601﹣609，701﹣709，80﹣809，一共是72个； 综上，总共82+18+72＝172个0． 故答案为：172．
1621				两个自然数相除，商是15，余数是5。已知被除数、除数、商和余数之和是2169。求被除数。	2015	设除数是x，则被除数是15x+5； (15x+5)+x+15+5=2169； 解得x=134； 被除数是15×134+5=2015。
665				早晨7点10分，妈妈叫醒小明，让他起床，可小明从镜子中看到的时刻还没有到起床 的时刻，他对妈妈说：“还早呢！”小明误以为当时是__________点__________分．	4点50分	镜子里看到的跟现实是左右互换了，所以镜子中看到是4点50分．
143	六年级	第二十一讲	数论综合 	不大于2009的自然数中，被3整除且恰有一个数码是6的有几个.	162	首位数码有两种选法，只能是0或1;而数码6需要在剩下的三位中任选一个位置有三种 选法；接下来一位除6之外均可选择，所以有9种选法；对于最后选数码的一位，如果已选的三 位数码的和除以3余数为0,则可以为0、3、9;如果余数为1,则可以为2、5、8;如果余数为2,则 可以为1、4、7.可见只要前三位数码确定了，最后一位数码都有3种选择，所以四位数中是3的 倍数且只含有一个数码6的数共有2×3×9×3=162(个).
1430				在17□17□17□17□17的四个□中填入“+”、“﹣”、“×”、“÷”运算符号各一个．所成的算式的最大值是　　．	305	解：因为减号只能用一次，减数不能为0，那么17÷17＝1做减数时，运算的结果最大： 17×17+17﹣17÷17， ＝289+17﹣1， ＝305． 故答案为：305．
1344	四年级			阳历1978年的1月1日是星期日，阳历2000年的1月1日是星期　   　．	六	解：365×22+5＝8035（天）， 8035÷7＝1147（星期）…6（天）， 故2000年1月1日是星期六． 故答案为：六．
422	四年级	第十九讲	抽屉原理	   图书馆中有科技书、故事书、美术书.让五(1)班同学去借书，不能不借，最多借3本.要确保有3个同学借书的类型和数量完全一样，那么五(1)班至少有几名学生.	39	借1本书有3种情况；借2本书有6种情况；借3本书有3+2+2+2+1=10(种) 情况；共有3+6+10=19(种)情况，根据抽屉原理，为确保3个同学借书的类型和数量都一样， 至少有19×2+1=39(名)同学.
637				用1024个棱长是1 的小正方体组成体积是1024的一个长方体，将这个方长体的六个面都 涂上颜色，则六个面都没有涂色的小正方体最多有__________个．	504	若想让没有染色的小正方体个数最多，则应保证组成的长方形尽可能的接近正方形， 即长方形的长宽高应该尽可能的接近，由于长方形的体积为1024，且长宽高都为整 数，则长宽高应该分别是8，8，16，在这种情况下，除了最外面一层的小正方体被 染色外，里面的小正方体均未被染色，则未被染色的小正方体有6 6 14 504   个．
1582				计算：（888+777）÷（666+555+444）＝　　．	1	解：（888+777）÷（666+555+444） ＝111×（8+7）÷[111×（6+5+4）] ＝111×15÷111÷15 ＝（111÷111）×（15÷15） ＝1 故答案为：1．
800	五年级	第二十二讲	进位制与位值原理	一个收银员下班前查账时发现：现金比账面记录少了153元，她知道实际收钱不会错， 只能是记账时有一个数点错了小数点，那么记错的那笔账实际收到的现金是        元 .	17	说明账面比现金小数点右移了 若右移1位，则增加9倍，恰好153÷9=17, 若右移了2位，则增加99倍，但99不能整除153,所以实际收到的现金17元.
994				已知8个数的平均数是8，如果把其中一个数改为8后这8个数的平均数变为7，那么这个被改动的数原来是　   　．	16	解：（8﹣7）×8+8 ＝8+8 ＝16
616	六年级	第14届	短除法	将从1开始到100的连续的自然数相乘，得到1×2×3×4×...×99×100。记为100!（读作100的阶乘）。用3除100!，显然，100!被3整除，得到一个商；再用3除这个商，......，这样一直用3除下去，直到所得的商不能被3整除为止，那么，在这个过程中用3整除了 ____ 次.	48	从1到100里，3的倍数有3、6、9、……、99（根据等差数列）共33个；其中9=3×3，9的倍数有9、18、27、……、99共有11个；27=3×3×3，27的倍数有27、54、81共有3个；81=3×3×3×3；所以，在这个过程中用3整除了33+11+3+1=48次.
295	四年级	第七讲	乘法原理	康康到麦当劳买套餐， 一份套餐包含了一个汉堡、 一份小吃和一杯饮料.服务员告诉他 店里有8种汉堡、4种小吃、5种饮料可供选择.那么康康一共可以搭配出几种 套餐.	160	一份套餐应该包括汉堡、小吃、饮料，因此根据乘法原理分步计算有8×4×5= 160(种)套餐搭配.
1877	三年级			\text{小赵、小钱、小孙、小李四人合作完成一件工作，且每人每天完成相同的工作量。小李因为身体不适只工作了 } 2 \ \text{天就去休息了，为此其他三人要比原来多工作 } 3 \ \text{天。最后，其他三人每人得到的报酬都比小李多 } 2700 \ \text{元，小李得到的报酬是} \underline{\quad\quad} \ \text{元。}	450	\text{假设 } 1 \ \text{个人 } 1 \ \text{天工作量为 } 1 \ \text{份，} \\ \text{则其他三人 } 3 \ \text{天的工作量为 } 3 \times 3 = 9 \ \text{份，} \\ \text{即证明小李比正常少工作 } 9 \ \text{天；} \\ \text{而其他三人比正常多工作 } 3 \ \text{天，} \\ \text{因此其他三人比小李多工作 } 9 + 3 = 12 \ \text{天；} \\ \text{因此 } 1 \ \text{天的报酬是 } 2700 \div 12 = 225 \ \text{元，} \\ \text{小李得到的报酬是 } 225 \times 2 = 450 \ \text{元。}
1789				在去年市奥校入学考试中，某个考室有40名同学参加考试，其中前10名同学的平均分比这个考室全部同学的平均分高9分，那么其余30名同学的平均分则比这个考室全部同学的平均分低（ ）分。 A. 7 B. 6 C. 5 D. 4 E. 3	E	先根据“高的均分×人数=总分”求出前10名的总分比全班平均总分多的分数，即其它同学比全班平均总分少的分数，用“40-10”求出其它人数，然后用“其它同学比全班平均总分少的分数÷其它同学的人数=其余同学的平均分比全班平均分低的分数”解答即可。 解：10×9÷（40-10）， =10×9÷30， =3（分）。 答：其余30名同学的平均分则比这个考室全部同学的平均分低3分。
